propiedad;precio;ALMACENES PEQUENOS VENTA DE ALIMENTOS;ESTABLECIMIENTOS DE ENSENANZA PRIMARIA Y SECUNDARIA PARA ADULTOS;MANTENIMIENTO Y REPARACION DE VEHICULOS AUTOMOTORES;PELUQUERIAS Y SALONES DE BELLEZA;ACTIVIDADES DE ORGANIZACIONES RELIGIOSAS;VENTA AL POR MAYOR DE PRODUCTOS TEXTILES, PRENDAS DE VESTIR Y CALZADO;RESTAURANTES;VENTAS AL POR MENOR DE OTROS PROD. EN ALMACENES ESPECIALIZADOS N.C.P.;VENTA AL POR MENOR DE BEBIDAS Y LICORES BOTILLERIAS;ADMINISTRACION DE MERCADOS FINANCIEROS;ESTABLECIMIENTOS DE COMIDA RAPIDA BARES, FUENTES DE SODA, PIZZERIAS;ALMACENES MEDIANOS VENTA DE ALIMENTOS- SUPERMERCADOS, MINIMARKETS;VENTA AL POR MENOR DE PRODUCTOS DE PANADERIA Y PASTELERIA;OTRAS REPARACIONES DE EFECTOS PERSONALES Y ENSERES DOMESTICOS N.C.P.;SERVICIOS DE OTROS ESTABLECIMIENTOS QUE EXPENDEN COMIDAS Y BEBIDAS;VENTA AL POR MENOR DE CARNES, PRODUCTOS CARNICOS Y SIMILARES;COMERCIO AL POR MENOR DE VERDURAS Y FRUTAS VERDULERIA;ESTABLECIMIENTOS MEDICOS DE ATENCION AMBULATORIA CENTROS MEDICOS;VENTA AL POR MENOR DE ART. DE FERRETERIA Y MATERIALES DE CONSTRUCCION;OTRAS ACTIVIDADES DE SERVICIOS PERSONALES N.C.P.;VENTA  AL POR MENOR DE ALIMENTOS  PARA MASCOTAS Y ANIMALES EN GENERAL;FARMACIAS - PERTENECIENTES A CADENA DE ESTABLECIMIENTOS;OTRAS ACTIVIDADES DE ENTRETENIMIENTO N.C.P.;BANCOS;VENTA AL POR MENOR DE MUEBLES- INCLUYE COLCHONES;VENTA AL POR MENOR DE PRODUCTOS DE CONFITERIAS, CIGARRILLOS, Y OTROS;VENTA AL POR MAYOR DE OTROS ENSERES DOMESTICOS N.C.P.;VENTA AL POR MAYOR DE COMBUSTIBLES LIQUIDOS;VENTA AL POR MAYOR DE  LIBROS;VENTA AL POR MENOR DE APARATOS, ART, EQUIPO DE USO DOMESTICO N.C.P.;ACTIVIDADES DE OTRAS ORGANIZACIONES PROFESIONALES;COMERCIO POR MENOR DE ARTICULOS  DE JOYERIA, FANTASIAS Y RELOJERIAS;SERVICIOS DE COBRANZA DE CUENTAS;VENTA AL POR MENOR DE FLORES, PLANTAS, ARBOLES, SEMILLAS, ABONOS;HOSPITALES Y CLINICAS;FABRICACION  DE APARATOS DE USO DOMESTICO N.C.P.;IMPRESION PRINCIPALMENTE DE LIBROS;LAVADO Y LIMPIEZA DE PRENDAS DE TELA Y PIEL, INCLUSO LIMPIEZAS EN SECO;SERVICIOS DE COMIDA PREPARADA EN FORMA INDUSTRIAL;AGENCIAS DE TRANSPORTE;COMERCIO AL POR MENOR DE ARTICULOS TIPICOS ARTESANIAS;ARRIENDO DE INMUEBLES AMOBLADOS O CON EQUIPOS Y MAQUINARIAS;HOTELES;REPARACION DE INSTRUMENTOS DE OPTICA N.C.P Y EQUIPO FOTOGRAFICOS;SISTEMA DE JUEGOS DE AZAR MASIVOS.;EXPLOTACION DE INSTALACIONES ESPECIALIZADAS PARA PRACTICAS DEPORTIVAS;SERVICIOS DE FOTOCOPIAS;COMERCIO AL POR MENOR DE PRODUCTOS DE VIDRIO;COMERCIO AL POR MENOR DE COMPUTADORAS, SOFTWARES Y SUMINISTROS;GRANDES TIENDAS DE PRODUCTOS DE VESTUARIO Y HOGAR;ACTIVIDADES DE MANTENIMIENTO DEL ORDEN PUBLICO Y DE SEGURIDAD;CONSTRUCCION DE EDIFICIOS COMPLETOS O DE PARTES DE EDIFICIOS;FORJA, PRENSADO, ESTAMPADO, LAMINADO DE METAL- INCLUYE PULVIMETALURGIA;ELABORACION DE PRODUCTOS DE ALUMINIO EN FORMAS PRIMARIAS;COMERCIO AL POR MENOR DE ARTICULOS FOTOGRAFICOS;OTRAS ACTIVIDADES DE SERVICIOS FUNERARIOS Y OTRAS ACTIVIDADES CONEXAS;VENTA AL POR MAYOR DE ART. DE PERFUMERIA, COSMETICOS Y PROD. LIMPIEZA;COMERCIO POR MENOR DE JUGUETES;VENTA AL POR MAYOR DE DESECHOS METALICOS CHATARRA;EDUCACION EXTRAESCOLAR (ESCUELA DE CONDUCCION, MUSICA, MODELAJE, ETC);CORREDORES DE PROPIEDADES;VENTA AL POR MENOR DE DISCOS, CASSETTES, DVD Y VIDEOS;TRANSPORTES POR TAXIS LIBRES Y RADIOTAXIS;FAB. DE POSTRES A BASE DE LECHE HELADOS, SORBETES Y OTROS SIMILARES;PORTADORES TELEFONICOS LARGA DISTANCIA NACIONAL E INTERNACIONAL;
3381;5600;201-300;201-300;201-300;>400;101-200;301-400;201-300;201-300;>400;>400;201-300;301-400;301-400;>400;201-300;>400;>400;201-300;>400;301-400;>400;201-300;>400;201-300;>400;201-300;>400;>400;>400;>400;>400;>400;301-400;301-400;201-300;>400;>400;301-400;>400;>400;>400;>400;>400;201-300;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;201-300;>400;>400;>400;>400;>400;
3382;5610;0-100;201-300;201-300;301-400;201-300;>400;101-200;301-400;101-200;>400;301-400;0-100;0-100;101-200;301-400;>400;101-200;>400;301-400;>400;>400;>400;>400;>400;201-300;>400;>400;101-200;>400;>400;101-200;>400;301-400;>400;>400;301-400;>400;>400;>400;>400;>400;301-400;301-400;>400;>400;0-100;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;
3383;5611;101-200;0-100;>400;101-200;201-300;101-200;0-100;0-100;201-300;>400;0-100;0-100;101-200;101-200;101-200;101-200;101-200;0-100;201-300;101-200;301-400;201-300;201-300;101-200;>400;201-300;101-200;>400;101-200;>400;201-300;101-200;>400;101-200;0-100;>400;101-200;101-200;>400;301-400;301-400;201-300;101-200;101-200;>400;101-200;101-200;101-200;101-200;>400;>400;101-200;>400;>400;101-200;>400;>400;101-200;>400;>400;101-200;101-200;>400;301-400;101-200;
3384;5613;301-400;101-200;0-100;101-200;301-400;301-400;101-200;101-200;>400;>400;101-200;201-300;>400;101-200;>400;>400;>400;>400;101-200;>400;201-300;101-200;201-300;201-300;101-200;>400;>400;301-400;301-400;101-200;301-400;>400;201-300;101-200;201-300;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;301-400;>400;>400;301-400;>400;201-300;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;
3385;5620;101-200;101-200;0-100;0-100;0-100;101-200;0-100;101-200;201-300;>400;0-100;101-200;101-200;101-200;101-200;>400;>400;101-200;201-300;101-200;201-300;0-100;201-300;101-200;>400;0-100;101-200;301-400;101-200;>400;101-200;201-300;201-300;>400;101-200;301-400;0-100;201-300;>400;201-300;201-300;101-200;>400;201-300;>400;201-300;101-200;101-200;101-200;>400;201-300;>400;>400;>400;201-300;>400;201-300;>400;>400;>400;>400;201-300;>400;201-300;201-300;
3386;5626;0-100;101-200;201-300;101-200;301-400;>400;301-400;0-100;>400;>400;0-100;301-400;0-100;201-300;201-300;>400;0-100;>400;>400;>400;301-400;201-300;0-100;>400;0-100;>400;201-300;>400;>400;>400;101-200;>400;>400;>400;>400;>400;>400;201-300;>400;>400;>400;>400;>400;>400;201-300;>400;201-300;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;0-100;>400;>400;>400;
3387;5626;301-400;0-100;101-200;0-100;>400;201-300;201-300;201-300;>400;>400;301-400;0-100;>400;101-200;>400;>400;301-400;>400;301-400;>400;201-300;101-200;101-200;101-200;301-400;301-400;>400;>400;201-300;>400;101-200;>400;201-300;301-400;0-100;>400;>400;301-400;301-400;>400;301-400;>400;101-200;>400;>400;>400;301-400;>400;201-300;>400;201-300;101-200;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;
3388;5628;201-300;101-200;101-200;>400;101-200;>400;301-400;>400;301-400;>400;>400;>400;>400;201-300;101-200;>400;101-200;>400;301-400;>400;>400;>400;>400;>400;101-200;>400;>400;>400;201-300;>400;>400;>400;>400;>400;201-300;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;301-400;>400;>400;>400;>400;>400;301-400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;
3389;5630;101-200;101-200;201-300;0-100;201-300;>400;201-300;101-200;>400;>400;101-200;101-200;0-100;301-400;301-400;>400;201-300;>400;>400;>400;>400;101-200;0-100;>400;201-300;>400;0-100;301-400;>400;>400;201-300;>400;>400;>400;>400;>400;>400;0-100;>400;>400;>400;>400;>400;>400;101-200;>400;101-200;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;201-300;>400;>400;>400;
3390;5630;101-200;101-200;201-300;0-100;201-300;>400;201-300;101-200;>400;>400;101-200;101-200;0-100;301-400;301-400;>400;201-300;>400;>400;>400;>400;101-200;0-100;>400;201-300;>400;0-100;301-400;>400;>400;201-300;>400;>400;>400;>400;>400;>400;0-100;>400;>400;>400;>400;>400;>400;101-200;>400;101-200;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;201-300;>400;>400;>400;
3391;5630;0-100;101-200;0-100;0-100;201-300;301-400;0-100;101-200;101-200;>400;0-100;101-200;101-200;101-200;101-200;>400;201-300;301-400;101-200;101-200;301-400;301-400;201-300;>400;201-300;>400;101-200;0-100;>400;201-300;0-100;>400;0-100;>400;>400;0-100;201-300;101-200;>400;>400;>400;101-200;>400;>400;>400;>400;>400;>400;201-300;301-400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;201-300;>400;>400;301-400;>400;
3392;5630;0-100;201-300;0-100;0-100;>400;201-300;0-100;0-100;>400;>400;0-100;0-100;101-200;0-100;0-100;>400;>400;>400;301-400;0-100;0-100;>400;0-100;201-300;201-300;201-300;>400;301-400;>400;>400;201-300;201-300;0-100;>400;>400;301-400;>400;201-300;>400;>400;301-400;301-400;>400;>400;0-100;>400;201-300;>400;201-300;>400;>400;>400;301-400;>400;>400;0-100;301-400;>400;>400;0-100;>400;>400;>400;>400;0-100;
3393;5630;301-400;101-200;0-100;0-100;201-300;101-200;0-100;201-300;101-200;>400;101-200;0-100;101-200;0-100;0-100;>400;0-100;101-200;>400;101-200;>400;>400;>400;>400;0-100;>400;>400;0-100;>400;>400;201-300;0-100;201-300;201-300;201-300;>400;>400;101-200;>400;>400;>400;>400;>400;>400;>400;201-300;0-100;0-100;>400;>400;201-300;>400;>400;>400;>400;0-100;>400;>400;>400;>400;>400;>400;>400;>400;>400;
3394;5630;101-200;201-300;201-300;101-200;>400;101-200;0-100;101-200;101-200;>400;101-200;301-400;101-200;301-400;101-200;>400;101-200;>400;201-300;301-400;301-400;201-300;201-300;101-200;101-200;201-300;>400;201-300;201-300;>400;101-200;101-200;301-400;101-200;>400;>400;>400;301-400;>400;101-200;301-400;>400;301-400;301-400;301-400;201-300;>400;>400;201-300;301-400;>400;201-300;>400;>400;301-400;>400;301-400;301-400;>400;>400;201-300;301-400;>400;301-400;201-300;
3395;5630;0-100;201-300;0-100;0-100;101-200;0-100;0-100;0-100;101-200;>400;0-100;0-100;0-100;0-100;0-100;>400;0-100;201-300;201-300;0-100;101-200;201-300;101-200;0-100;201-300;101-200;0-100;>400;0-100;>400;201-300;101-200;0-100;0-100;201-300;0-100;>400;>400;>400;201-300;>400;101-200;>400;201-300;0-100;101-200;>400;0-100;>400;>400;>400;301-400;>400;>400;0-100;0-100;>400;301-400;>400;>400;>400;>400;101-200;101-200;>400;
3396;5630;201-300;0-100;301-400;101-200;0-100;201-300;>400;>400;301-400;>400;301-400;301-400;301-400;101-200;301-400;>400;301-400;>400;>400;>400;>400;301-400;>400;301-400;301-400;>400;>400;301-400;301-400;>400;>400;>400;301-400;>400;>400;>400;>400;201-300;>400;>400;301-400;>400;>400;>400;>400;>400;301-400;>400;>400;>400;>400;>400;301-400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;
3397;5630;0-100;0-100;101-200;101-200;101-200;101-200;101-200;101-200;>400;>400;101-200;0-100;101-200;101-200;101-200;>400;101-200;101-200;101-200;101-200;101-200;101-200;101-200;101-200;101-200;301-400;101-200;301-400;101-200;>400;101-200;101-200;301-400;201-300;101-200;101-200;>400;>400;301-400;101-200;201-300;101-200;>400;101-200;201-300;0-100;>400;201-300;201-300;201-300;>400;>400;301-400;301-400;0-100;201-300;>400;201-300;>400;>400;>400;>400;101-200;201-300;201-300;
3398;5630;101-200;101-200;>400;101-200;0-100;201-300;101-200;101-200;201-300;>400;101-200;101-200;101-200;201-300;101-200;>400;>400;301-400;201-300;201-300;101-200;101-200;201-300;101-200;201-300;>400;>400;>400;>400;201-300;101-200;>400;>400;>400;101-200;>400;201-300;>400;>400;201-300;201-300;>400;201-300;>400;201-300;201-300;101-200;>400;201-300;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;101-200;201-300;>400;>400;>400;
3399;5630;101-200;201-300;201-300;101-200;>400;101-200;0-100;101-200;101-200;>400;101-200;301-400;101-200;301-400;101-200;>400;101-200;>400;201-300;301-400;301-400;201-300;201-300;101-200;101-200;201-300;>400;201-300;201-300;>400;101-200;101-200;301-400;101-200;>400;>400;>400;301-400;>400;101-200;301-400;>400;301-400;301-400;301-400;201-300;>400;>400;201-300;301-400;>400;201-300;>400;>400;301-400;>400;301-400;301-400;>400;>400;201-300;301-400;>400;301-400;201-300;
3400;5630;0-100;101-200;101-200;0-100;201-300;>400;0-100;101-200;>400;>400;201-300;0-100;>400;101-200;301-400;301-400;101-200;0-100;>400;0-100;>400;0-100;201-300;201-300;201-300;201-300;0-100;>400;>400;>400;0-100;>400;0-100;0-100;101-200;>400;>400;0-100;>400;0-100;>400;0-100;>400;0-100;>400;>400;>400;>400;>400;201-300;101-200;0-100;>400;>400;101-200;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;
3401;5630;0-100;301-400;101-200;201-300;301-400;0-100;101-200;201-300;201-300;201-300;101-200;101-200;201-300;201-300;201-300;>400;>400;>400;101-200;201-300;201-300;101-200;201-300;201-300;201-300;201-300;>400;>400;201-300;>400;>400;101-200;201-300;>400;0-100;>400;>400;101-200;>400;>400;201-300;>400;101-200;201-300;>400;>400;>400;>400;201-300;201-300;>400;201-300;>400;>400;201-300;>400;201-300;201-300;>400;>400;>400;201-300;>400;201-300;201-300;
3402;5630;201-300;0-100;201-300;>400;>400;>400;>400;>400;>400;>400;101-200;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;
3403;5630;0-100;0-100;>400;>400;0-100;>400;201-300;>400;301-400;>400;101-200;301-400;>400;>400;>400;101-200;>400;>400;>400;201-300;>400;>400;>400;>400;>400;>400;>400;0-100;301-400;>400;201-300;>400;>400;>400;201-300;>400;>400;201-300;>400;>400;>400;>400;201-300;>400;>400;>400;101-200;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;
3404;5630;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;
3405;5630;101-200;0-100;101-200;101-200;201-300;301-400;101-200;101-200;301-400;>400;201-300;>400;101-200;201-300;>400;201-300;201-300;101-200;201-300;201-300;101-200;>400;301-400;201-300;301-400;301-400;>400;>400;301-400;>400;>400;>400;201-300;301-400;201-300;>400;>400;>400;101-200;>400;>400;>400;>400;>400;>400;>400;101-200;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;
3406;5630;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;
3407;5630;301-400;0-100;>400;301-400;301-400;>400;301-400;301-400;>400;>400;301-400;0-100;201-300;301-400;>400;0-100;>400;201-300;301-400;>400;>400;201-300;>400;>400;>400;>400;0-100;>400;301-400;>400;>400;>400;301-400;>400;201-300;>400;>400;301-400;>400;>400;>400;>400;201-300;>400;>400;>400;>400;>400;>400;>400;>400;301-400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;
3408;5630;0-100;201-300;301-400;>400;>400;>400;301-400;>400;>400;>400;0-100;>400;>400;>400;>400;>400;>400;201-300;>400;>400;>400;>400;>400;>400;>400;>400;>400;301-400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;101-200;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;
3409;5630;0-100;0-100;101-200;0-100;301-400;101-200;0-100;0-100;0-100;>400;0-100;101-200;101-200;0-100;101-200;101-200;101-200;0-100;>400;201-300;201-300;101-200;0-100;301-400;0-100;0-100;>400;0-100;101-200;301-400;301-400;201-300;201-300;301-400;201-300;201-300;>400;101-200;101-200;101-200;>400;101-200;301-400;>400;301-400;0-100;>400;0-100;>400;>400;0-100;>400;>400;301-400;>400;>400;>400;>400;>400;0-100;>400;>400;>400;>400;>400;
3410;5630;101-200;101-200;101-200;201-300;101-200;301-400;101-200;101-200;201-300;>400;201-300;201-300;301-400;>400;101-200;>400;101-200;201-300;301-400;301-400;301-400;201-300;301-400;201-300;301-400;301-400;>400;301-400;301-400;>400;301-400;201-300;301-400;>400;>400;>400;>400;301-400;>400;>400;>400;201-300;>400;>400;301-400;201-300;>400;201-300;>400;>400;>400;101-200;>400;>400;>400;>400;301-400;>400;>400;>400;>400;>400;201-300;>400;>400;
3411;5630;0-100;0-100;0-100;0-100;101-200;201-300;0-100;101-200;101-200;>400;0-100;0-100;201-300;201-300;101-200;>400;301-400;>400;101-200;>400;201-300;0-100;101-200;0-100;>400;101-200;201-300;>400;101-200;0-100;>400;>400;101-200;>400;>400;201-300;201-300;0-100;>400;>400;>400;201-300;>400;>400;101-200;101-200;0-100;>400;201-300;>400;201-300;101-200;301-400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;
3412;5630;301-400;0-100;0-100;201-300;0-100;>400;201-300;201-300;>400;>400;101-200;201-300;201-300;301-400;101-200;301-400;301-400;201-300;301-400;101-200;201-300;101-200;301-400;0-100;101-200;>400;>400;0-100;301-400;>400;>400;301-400;201-300;201-300;>400;>400;>400;301-400;>400;>400;>400;201-300;>400;>400;>400;201-300;>400;>400;>400;>400;>400;>400;>400;>400;301-400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;
3413;5630;101-200;101-200;101-200;101-200;>400;>400;101-200;101-200;101-200;>400;301-400;301-400;>400;101-200;301-400;301-400;201-300;201-300;101-200;101-200;>400;301-400;>400;301-400;201-300;301-400;301-400;>400;>400;>400;301-400;>400;301-400;301-400;101-200;>400;>400;301-400;201-300;301-400;>400;301-400;>400;301-400;>400;>400;>400;>400;101-200;301-400;>400;301-400;301-400;>400;>400;>400;>400;301-400;>400;>400;>400;>400;>400;>400;>400;
3414;5630;0-100;0-100;101-200;0-100;301-400;101-200;0-100;0-100;101-200;>400;0-100;101-200;101-200;0-100;101-200;101-200;101-200;>400;>400;101-200;201-300;101-200;0-100;301-400;0-100;101-200;>400;101-200;101-200;301-400;301-400;201-300;201-300;301-400;201-300;201-300;>400;101-200;101-200;101-200;>400;101-200;301-400;>400;>400;0-100;>400;0-100;>400;>400;0-100;>400;>400;301-400;>400;>400;>400;>400;>400;0-100;>400;>400;>400;>400;>400;
3415;5630;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;
3416;5630;0-100;101-200;201-300;0-100;101-200;301-400;0-100;301-400;201-300;>400;201-300;201-300;201-300;201-300;201-300;201-300;>400;101-200;101-200;101-200;>400;>400;>400;301-400;301-400;201-300;>400;101-200;301-400;>400;>400;>400;>400;>400;201-300;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;0-100;201-300;>400;>400;>400;>400;>400;>400;>400;>400;0-100;>400;>400;>400;>400;>400;>400;>400;>400;>400;
3417;5630;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;
3418;5630;301-400;201-300;>400;201-300;201-300;201-300;201-300;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;
3419;5630;101-200;0-100;0-100;101-200;201-300;0-100;0-100;101-200;>400;>400;0-100;0-100;>400;>400;>400;>400;0-100;>400;>400;101-200;0-100;101-200;0-100;101-200;>400;0-100;101-200;>400;101-200;>400;>400;>400;>400;101-200;201-300;>400;201-300;0-100;0-100;>400;0-100;>400;>400;>400;101-200;201-300;201-300;>400;>400;>400;>400;>400;201-300;>400;101-200;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;
3420;5630;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;
3421;5630;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;
3422;5630;101-200;101-200;201-300;301-400;101-200;301-400;101-200;301-400;>400;>400;0-100;201-300;301-400;301-400;301-400;>400;201-300;101-200;>400;201-300;>400;101-200;101-200;0-100;>400;301-400;201-300;201-300;201-300;>400;201-300;>400;301-400;301-400;101-200;301-400;301-400;301-400;>400;>400;301-400;>400;201-300;>400;>400;>400;101-200;>400;201-300;>400;201-300;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;101-200;
3423;5630;101-200;0-100;0-100;0-100;201-300;301-400;101-200;0-100;301-400;>400;201-300;>400;101-200;301-400;>400;201-300;101-200;101-200;201-300;201-300;101-200;>400;>400;201-300;301-400;301-400;>400;>400;301-400;>400;>400;>400;201-300;301-400;201-300;>400;>400;>400;101-200;>400;>400;>400;>400;>400;>400;>400;101-200;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;
3424;5630;0-100;0-100;101-200;101-200;101-200;101-200;101-200;101-200;>400;>400;101-200;0-100;101-200;101-200;101-200;>400;101-200;101-200;101-200;101-200;101-200;101-200;101-200;101-200;101-200;301-400;101-200;301-400;101-200;>400;101-200;101-200;301-400;201-300;101-200;101-200;>400;>400;301-400;101-200;201-300;101-200;>400;101-200;201-300;0-100;>400;201-300;201-300;201-300;>400;>400;301-400;301-400;0-100;201-300;>400;201-300;>400;>400;>400;>400;101-200;201-300;201-300;
3425;5630;0-100;0-100;201-300;0-100;>400;0-100;0-100;0-100;0-100;>400;101-200;0-100;0-100;0-100;0-100;>400;>400;0-100;>400;>400;0-100;201-300;>400;>400;301-400;201-300;>400;0-100;0-100;>400;201-300;>400;>400;>400;0-100;>400;>400;0-100;>400;>400;>400;0-100;>400;>400;101-200;>400;>400;>400;>400;>400;201-300;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;301-400;>400;
3426;5630;0-100;0-100;301-400;0-100;301-400;0-100;0-100;0-100;201-300;>400;0-100;0-100;0-100;301-400;0-100;>400;>400;101-200;101-200;101-200;301-400;0-100;0-100;0-100;>400;301-400;101-200;>400;101-200;>400;>400;301-400;>400;301-400;0-100;>400;101-200;>400;>400;>400;301-400;>400;0-100;201-300;>400;101-200;>400;>400;301-400;>400;0-100;>400;>400;>400;>400;101-200;>400;301-400;>400;>400;301-400;>400;>400;301-400;>400;
3427;5631;0-100;101-200;0-100;101-200;0-100;>400;>400;101-200;201-300;>400;301-400;0-100;101-200;301-400;101-200;301-400;301-400;>400;101-200;>400;>400;301-400;101-200;>400;301-400;>400;201-300;0-100;201-300;>400;301-400;>400;>400;>400;101-200;>400;>400;201-300;>400;>400;>400;201-300;>400;>400;301-400;>400;301-400;>400;301-400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;
3428;5640;0-100;0-100;0-100;0-100;0-100;0-100;0-100;0-100;301-400;>400;0-100;101-200;0-100;0-100;0-100;301-400;101-200;101-200;301-400;101-200;>400;101-200;101-200;301-400;>400;0-100;101-200;0-100;0-100;>400;0-100;101-200;101-200;0-100;>400;0-100;301-400;0-100;>400;0-100;>400;301-400;201-300;101-200;0-100;301-400;101-200;301-400;101-200;>400;>400;>400;>400;>400;101-200;>400;101-200;>400;>400;>400;>400;>400;>400;>400;301-400;
3429;5650;0-100;0-100;201-300;0-100;101-200;201-300;101-200;201-300;301-400;>400;301-400;101-200;201-300;101-200;101-200;>400;301-400;301-400;>400;>400;101-200;101-200;201-300;>400;301-400;>400;>400;201-300;101-200;>400;301-400;301-400;201-300;>400;301-400;>400;201-300;201-300;>400;>400;>400;>400;>400;201-300;301-400;>400;201-300;>400;>400;301-400;>400;>400;301-400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;
3430;5650;101-200;101-200;>400;101-200;201-300;101-200;101-200;201-300;>400;>400;101-200;201-300;301-400;101-200;101-200;>400;201-300;101-200;101-200;301-400;301-400;101-200;301-400;201-300;101-200;201-300;101-200;>400;201-300;>400;201-300;201-300;301-400;>400;101-200;301-400;201-300;201-300;201-300;301-400;201-300;201-300;301-400;301-400;201-300;>400;301-400;>400;301-400;101-200;>400;>400;101-200;201-300;201-300;>400;201-300;201-300;>400;301-400;>400;301-400;301-400;301-400;201-300;
